           #Time            Temp             Kin       Potencial           E_tot        Pressure
  0.15164160E+00  0.30115650E+03  0.37559306E+01  0.87594074E+00  0.46318714E+01  0.20538599E+09
  0.15238132E+00  0.30367405E+03  0.37873288E+01  0.84523204E+00  0.46325608E+01  0.20538599E+09
  0.15312103E+00  0.30161858E+03  0.37616936E+01  0.85248580E+00  0.46141794E+01  0.20538599E+09
  0.15386075E+00  0.30316012E+03  0.37809192E+01  0.87978626E+00  0.46607055E+01  0.20538599E+09
  0.15460046E+00  0.29811952E+03  0.37180544E+01  0.82634585E+00  0.45444002E+01  0.20538599E+09
  0.15534018E+00  0.30228494E+03  0.37700042E+01  0.86666769E+00  0.46366719E+01  0.20538599E+09
  0.15607989E+00  0.29929365E+03  0.37326978E+01  0.88248062E+00  0.46151784E+01  0.20538599E+09
  0.15681961E+00  0.30317176E+03  0.37810643E+01  0.88061188E+00  0.46616762E+01  0.20538599E+09
  0.15755932E+00  0.29403809E+03  0.36671521E+01  0.86922771E+00  0.45363798E+01  0.20538599E+09
  0.15829904E+00  0.29910414E+03  0.37303343E+01  0.86220374E+00  0.45925381E+01  0.20538599E+09
  0.15903875E+00  0.30355558E+03  0.37858513E+01  0.86331798E+00  0.46491693E+01  0.20538599E+09
  0.15977847E+00  0.29391522E+03  0.36656196E+01  0.89567351E+00  0.45612931E+01  0.20538599E+09
  0.16051818E+00  0.29768928E+03  0.37126886E+01  0.88391836E+00  0.45966070E+01  0.20538599E+09
  0.16125790E+00  0.30039423E+03  0.37464239E+01  0.88810574E+00  0.46345296E+01  0.20538599E+09
  0.16199761E+00  0.30539592E+03  0.38088034E+01  0.87791494E+00  0.46867183E+01  0.20538599E+09
  0.16273733E+00  0.30768658E+03  0.38373718E+01  0.86401816E+00  0.47013899E+01  0.20538599E+09
  0.16347704E+00  0.29447941E+03  0.36726560E+01  0.86771780E+00  0.45403738E+01  0.20538599E+09
  0.16421676E+00  0.30033026E+03  0.37456261E+01  0.87550723E+00  0.46211333E+01  0.20538599E+09
  0.16495648E+00  0.29228216E+03  0.36452527E+01  0.86026140E+00  0.45055141E+01  0.20538599E+09
  0.16569619E+00  0.30870782E+03  0.38501083E+01  0.85474146E+00  0.47048498E+01  0.20538599E+09
  0.16643591E+00  0.30054651E+03  0.37483230E+01  0.85219596E+00  0.46005190E+01  0.20538599E+09
  0.16717562E+00  0.30383511E+03  0.37893374E+01  0.83458245E+00  0.46239199E+01  0.20538599E+09
  0.16791534E+00  0.29466116E+03  0.36749228E+01  0.86291022E+00  0.45378330E+01  0.20538599E+09
  0.16865505E+00  0.30366308E+03  0.37871919E+01  0.84363477E+00  0.46308267E+01  0.20538599E+09
  0.16939477E+00  0.29386269E+03  0.36649645E+01  0.87104034E+00  0.45360049E+01  0.20538599E+09
  0.17013448E+00  0.28974911E+03  0.36136612E+01  0.85956021E+00  0.44732214E+01  0.20538599E+09
  0.17087420E+00  0.29328170E+03  0.36577185E+01  0.84852397E+00  0.45062425E+01  0.20538599E+09
  0.17161391E+00  0.29749570E+03  0.37102743E+01  0.84700008E+00  0.45572744E+01  0.20538599E+09
  0.17235363E+00  0.29851197E+03  0.37229489E+01  0.86418591E+00  0.45871349E+01  0.20538599E+09
  0.17309334E+00  0.30401649E+03  0.37915995E+01  0.86386702E+00  0.46554666E+01  0.20538599E+09
  0.17383306E+00  0.30119953E+03  0.37564674E+01  0.88192762E+00  0.46383950E+01  0.20538599E+09
  0.17457277E+00  0.30448669E+03  0.37974638E+01  0.85416692E+00  0.46516307E+01  0.20538599E+09
  0.17531249E+00  0.29873174E+03  0.37256898E+01  0.84430904E+00  0.45699989E+01  0.20538599E+09
  0.17605220E+00  0.29995258E+03  0.37409158E+01  0.83413333E+00  0.45750491E+01  0.20538599E+09
  0.17679192E+00  0.29894111E+03  0.37283010E+01  0.84462237E+00  0.45729234E+01  0.20538599E+09
